(69580, 60681, 1.0)
(69580, 32538, 1.0)
(44835, 75716, 1.0)
(44835, 9977, 1.0)
(44835, 14836, 1.0)
(44835, 62214, 1.0)
(44835, 31942, 1.0)
(44835, 64508, 1.0)
(40404, 55732, 1.0)
(40404, 57853, 1.0)
(40404, 18822, 1.0)
(40404, 84491, 1.0)
(40404, 74451, 1.0)
(40404, 70512, 1.0)
(40404, 91105, 1.0)
(40404, 91934, 1.0)
(40404, 86870, 1.0)
(40404, 97825, 1.0)
(40404, 43155, 1.0)
(40404, 89363, 1.0)
(40404, 86751, 1.0)
(40404, 80827, 1.0)
(40404, 97485, 1.0)
(75716, 9977, 1.0)
(75716, 14836, 1.0)
(75716, 62214, 1.0)
(75716, 31942, 1.0)
(75716, 64508, 1.0)
(72186, 61139, 1.0)
(54097, 60831, 1.0)
(54097, 14919, 1.0)
(33640, 17351, 1.0)
(33640, 42239, 1.0)
(33640, 40070, 1.0)
(33640, 17806, 1.0)
(33640, 82776, 1.0)
(33640, 83813, 1.0)
(33640, 43901, 1.0)
(33640, 26252, 1.0)
(33640, 31394, 1.0)
(33640, 27424, 1.0)
(17351, 42239, 1.0)
(17351, 40070, 1.0)
(17351, 17806, 1.0)
(17351, 82776, 1.0)
(17351, 83813, 1.0)
(17351, 43901, 1.0)
(17351, 26252, 1.0)
(17351, 31394, 1.0)
(17351, 27424, 1.0)
(55732, 57853, 1.0)
(55732, 18822, 1.0)
(55732, 84491, 1.0)
(55732, 74451, 1.0)
(55732, 70512, 1.0)
(55732, 91105, 1.0)
(55732, 91934, 1.0)
(55732, 86870, 1.0)
(55732, 97825, 1.0)
(55732, 43155, 1.0)
(55732, 89363, 1.0)
(55732, 86751, 1.0)
(55732, 80827, 1.0)
(55732, 97485, 1.0)
(86416, 62409, 1.0)
(86416, 9008, 1.0)
(86416, 39371, 1.0)
(86416, 61696, 1.0)
(86416, 48582, 1.0)
(86416, 58368, 1.0)
(86416, 77335, 1.0)
(86416, 35768, 1.0)
(78887, 76843, 1.0)
(78887, 703, 1.0)
(78887, 86648, 1.0)
(78887, 7666, 1.0)
(89118, 93394, 1.0)
(89118, 50085, 1.0)
(89118, 26555, 1.0)
(89118, 59066, 1.0)
(89118, 83833, 1.0)
(89118, 15260, 1.0)
(89118, 85679, 1.0)
(89118, 67017, 1.0)
(89118, 66549, 1.0)
(89118, 74431, 1.0)
(89118, 78512, 1.0)
(89118, 17859, 1.0)
(89118, 93008, 1.0)
(89118, 45321, 1.0)
(89118, 26922, 1.0)
(89118, 48130, 1.0)
(89118, 52407, 1.0)
(89118, 67941, 1.0)
(89118, 88032, 1.0)
(89118, 12160, 1.0)
(89118, 25487, 1.0)
(89118, 25229, 1.0)
(89118, 28772, 1.0)
(89118, 20856, 1.0)
(89118, 41432, 1.0)
(89118, 24425, 1.0)
(89118, 93216, 1.0)
(89118, 35599, 1.0)
(89118, 4834, 1.0)
(89118, 24601, 1.0)
(89118, 46038, 1.0)
(89118, 53613, 1.0)
(89118, 48744, 1.0)
(89118, 71619, 1.0)
(89118, 72145, 1.0)
(89118, 98416, 1.0)
(36083, 87959, 1.0)
(36083, 45194, 1.0)
(36083, 21014, 1.0)
(36083, 90589, 1.0)
(36083, 38254, 1.0)
(36083, 3939, 1.0)
(36083, 6068, 1.0)
(36083, 31202, 1.0)
(36083, 82744, 1.0)
(36083, 69075, 1.0)
(36083, 4707, 1.0)
(36083, 58873, 1.0)
(36083, 47027, 1.0)
(36083, 67808, 1.0)
(36083, 22900, 1.0)
(36083, 89448, 1.0)
(36083, 64216, 1.0)
(36083, 19879, 1.0)
(36083, 74272, 1.0)
(36083, 18695, 1.0)
(36083, 65677, 1.0)
(36083, 37375, 1.0)
(36083, 74627, 1.0)
(36083, 9714, 1.0)
(36083, 81415, 1.0)
(36083, 57035, 1.0)
(36083, 82751, 1.0)
(36083, 23594, 1.0)
(93394, 50085, 1.0)
(93394, 26555, 1.0)
(93394, 59066, 1.0)
(93394, 83833, 1.0)
(93394, 15260, 1.0)
(93394, 85679, 1.0)
(93394, 67017, 1.0)
(93394, 66549, 1.0)
(93394, 74431, 1.0)
(93394, 78512, 1.0)
(93394, 17859, 1.0)
(93394, 93008, 1.0)
(93394, 45321, 1.0)
(93394, 26922, 1.0)
(93394, 48130, 1.0)
(93394, 52407, 1.0)
(93394, 67941, 1.0)
(93394, 88032, 1.0)
(93394, 12160, 1.0)
(93394, 25487, 1.0)
(93394, 25229, 1.0)
(93394, 28772, 1.0)
(93394, 20856, 1.0)
(93394, 41432, 1.0)
(93394, 24425, 1.0)
(93394, 93216, 1.0)
(93394, 35599, 1.0)
(93394, 4834, 1.0)
(93394, 24601, 1.0)
(93394, 46038, 1.0)
(93394, 53613, 1.0)
(93394, 48744, 1.0)
(93394, 71619, 1.0)
(93394, 72145, 1.0)
(93394, 98416, 1.0)
(47693, 76536, 1.0)
(47693, 42821, 1.0)
(47693, 97769, 1.0)
