164829	165465
480016	479994
394832	395192
394832	394774
394832	395367
394832	394953
399082	399636
399082	399535
344503	344624
443332	443231
443332	442273
443332	443068
374404	374735
469389	469001
399636	399535
83231	82050
505762	505537
65964	64711
44943	41385
307806	308014
345724	347464
345724	347357
498617	498688
347464	347357
443231	442273
443231	443068
395192	394774
395192	395367
395192	394953
147069	147065
394774	395367
394774	394953
420705	422307
420705	420316
420705	420827
261460	261827
395367	394953
422307	420316
422307	420827
420316	420827
284845	284862
379759	379458
442273	443068
287295	287154
188020	188332
