(164050, 164252, 1.0)
(164050, 164508, 1.0)
(310836, 310566, 1.0)
(270354, 270521, 1.0)
(475403, 475721, 1.0)
(43522, 45514, 1.0)
(43522, 48726, 1.0)
(43522, 44159, 1.0)
(43522, 48916, 1.0)
(43522, 39303, 1.0)
(43522, 41078, 1.0)
(43522, 40193, 1.0)
(43522, 39788, 1.0)
(43522, 48060, 1.0)
(43522, 45603, 1.0)
(43522, 47341, 1.0)
(43522, 48637, 1.0)
(222709, 222751, 1.0)
(163293, 163318, 1.0)
(205410, 204853, 1.0)
(205410, 204726, 1.0)
(273834, 274326, 1.0)
(368009, 367928, 1.0)
(368009, 367965, 1.0)
(481561, 481496, 1.0)
(367928, 367965, 1.0)
(173113, 173080, 1.0)
(173113, 173305, 1.0)
(357645, 357692, 1.0)
(444571, 445023, 1.0)
(196379, 196533, 1.0)
(412779, 412415, 1.0)
(412779, 412807, 1.0)
(461899, 461715, 1.0)
(461899, 461585, 1.0)
(501963, 501616, 1.0)
(501963, 501683, 1.0)
(81860, 82331, 1.0)
(81860, 82757, 1.0)
(81860, 82631, 1.0)
(81860, 83075, 1.0)
(82331, 82757, 1.0)
(82331, 82631, 1.0)
(82331, 83075, 1.0)
(501616, 501683, 1.0)
(260764, 260701, 1.0)
(421882, 420048, 1.0)
(421882, 420304, 1.0)
(421882, 419587, 1.0)
(421882, 420130, 1.0)
(421882, 419794, 1.0)
(346691, 344899, 1.0)
(346691, 347573, 1.0)
(346691, 345970, 1.0)
(250886, 250234, 1.0)
(250886, 250349, 1.0)
(250886, 246985, 1.0)
(250886, 251489, 1.0)
(250886, 249985, 1.0)
(250886, 247145, 1.0)
(61921, 61932, 1.0)
(527934, 527977, 1.0)
(344899, 347573, 1.0)
(344899, 345970, 1.0)
(179584, 179301, 1.0)
(179584, 179620, 1.0)
(179584, 179630, 1.0)
(372164, 372215, 1.0)
(203947, 204119, 1.0)
(203947, 203667, 1.0)
(45514, 48726, 1.0)
(45514, 44159, 1.0)
(45514, 48916, 1.0)
(45514, 39303, 1.0)
(45514, 41078, 1.0)
(45514, 40193, 1.0)
(45514, 39788, 1.0)
(45514, 48060, 1.0)
(45514, 45603, 1.0)
(45514, 47341, 1.0)
(45514, 48637, 1.0)
(4620, 7015, 1.0)
(4620, 8644, 1.0)
(524910, 524903, 1.0)
(406886, 406507, 1.0)
(406886, 408033, 1.0)
(68649, 68651, 1.0)
(161116, 161170, 1.0)
(486733, 486752, 1.0)
(420048, 420304, 1.0)
(420048, 419587, 1.0)
(420048, 420130, 1.0)
(420048, 419794, 1.0)
(374231, 374282, 1.0)
