(37120, 56764, 1.0)
(60946, 64880, 1.0)
(60946, 63123, 1.0)
(60946, 33334, 1.0)
(60946, 65049, 1.0)
(60946, 52283, 1.0)
(60946, 65228, 1.0)
(60946, 65225, 1.0)
(60946, 64502, 1.0)
(60946, 64185, 1.0)
(60946, 53075, 1.0)
(34425, 47118, 1.0)
(64880, 63123, 1.0)
(64880, 33334, 1.0)
(64880, 65049, 1.0)
(64880, 52283, 1.0)
(64880, 65228, 1.0)
(64880, 65225, 1.0)
(64880, 64502, 1.0)
(64880, 64185, 1.0)
(64880, 53075, 1.0)
(55222, 56062, 1.0)
(63123, 33334, 1.0)
(63123, 65049, 1.0)
(63123, 52283, 1.0)
(63123, 65228, 1.0)
(63123, 65225, 1.0)
(63123, 64502, 1.0)
(63123, 64185, 1.0)
(63123, 53075, 1.0)
(33334, 65049, 1.0)
(33334, 52283, 1.0)
(33334, 65228, 1.0)
(33334, 65225, 1.0)
(33334, 64502, 1.0)
(33334, 64185, 1.0)
(33334, 53075, 1.0)
(65049, 52283, 1.0)
(65049, 65228, 1.0)
(65049, 65225, 1.0)
(65049, 64502, 1.0)
(65049, 64185, 1.0)
(65049, 53075, 1.0)
(52283, 65228, 1.0)
(52283, 65225, 1.0)
(52283, 64502, 1.0)
(52283, 64185, 1.0)
(52283, 53075, 1.0)
(65228, 65225, 1.0)
(65228, 64502, 1.0)
(65228, 64185, 1.0)
(65228, 53075, 1.0)
(65225, 64502, 1.0)
(65225, 64185, 1.0)
(65225, 53075, 1.0)
(64502, 64185, 1.0)
(64502, 53075, 1.0)
(64185, 53075, 1.0)
